강수분석
[검색조건]
자료구분 : 일
자료형태 : 기본
지역/지점 : 서울
기간 : 20210101~20211231

날짜,지점,강수량(mm)
2021-10-10,108,14.2
2021-10-11,108,0.3
2021-10-12,108,
2021-10-13,108,
2021-10-14,108,
2021-10-15,108,0
2021-10-16,108,0
2021-10-17,108,
2021-10-18,108,5.6
2021-10-19,108,4.4
2021-10-20,108,
2021-10-21,108,
2021-10-22,108,
2021-10-23,108,
2021-10-24,108,
2021-10-25,108,
2021-10-26,108,
2021-10-27,108,0
2021-10-28,108,
2021-10-29,108,
2021-10-30,108,
2021-10-31,108,0.7
2021-11-01,108,
2021-11-02,108,
2021-11-03,108,
2021-11-04,108,0
2021-11-05,108,
2021-11-06,108,
2021-11-07,108,
2021-11-08,108,25.7
2021-11-09,108,2
2021-11-10,108,0.3
2021-11-11,108,0
2021-11-12,108,
2021-11-13,108,
2021-11-14,108,
2021-11-15,108,
2021-11-16,108,
2021-11-17,108,
2021-11-18,108,0
2021-11-19,108,
2021-11-20,108,
2021-11-21,108,5.9
2021-11-22,108,1.3
2021-11-23,108,
2021-11-24,108,0
2021-11-25,108,
2021-11-26,108,0
2021-11-27,108,
2021-11-28,108,
2021-11-29,108,
2021-11-30,108,27.2
2021-12-01,108,
2021-12-02,108,0.1
2021-12-03,108,0.4
2021-12-04,108,
2021-12-05,108,
2021-12-06,108,
2021-12-07,108,
2021-12-08,108,
2021-12-09,108,
2021-12-10,108,0.7
2021-12-11,108,
2021-12-12,108,
2021-12-13,108,
2021-12-14,108,1.2
2021-12-15,108,2.1
2021-12-16,108,0
2021-12-17,108,
2021-12-18,108,2.8
2021-12-19,108,0.2
2021-12-20,108,0
2021-12-21,108,
2021-12-22,108,
2021-12-23,108,
2021-12-24,108,0.2
2021-12-25,108,
2021-12-26,108,
2021-12-27,108,0
2021-12-28,108,
2021-12-29,108,0.2
2021-12-30,108,0
2021-12-31,108,
